Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time
_1462211675523_215620,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,23615,1,1,4723,4723,24181760,1,0,67,0,0,0,39,3990,329998336,1372401664,510132224,0,0,,,
_1462211675523_229797,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,535385,1,1,107077,107077,548234240,1,0,67,0,0,0,208,8890,312635392,1355919360,508559360,0,0,,,
_1462211675523_208316,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,335135,1,1,67027,67027,343178240,1,0,67,0,0,0,111,6220,314421248,1350266880,505937920,0,0,,,
_1462211675523_210974,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167035,311,0,8,1,1,2719660,1,1,543932,543932,2784931840,1,0,67,0,0,0,366,13080,380370944,1344405504,494403584,0,0,,,
_1462211675523_204810,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,48935,1,1,9787,9787,50109440,1,0,67,0,0,0,59,4860,315805696,1344282624,510132224,0,0,,,
_1462211675523_230551,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167163,311,0,8,1,1,420460,1,1,84092,84092,430551040,1,0,67,0,0,0,69,6470,316727296,1354919936,511705088,0,0,,,
_1462211675523_206110,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,28005,1,1,5601,5601,28677120,1,0,67,0,0,0,116,6110,308834304,1356967936,510132224,0,906,,,
_1462211675523_238458,,141661,25,hadoop02,hive2,aggregation/aggregate,preparation,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,53825,1,1,10765,10765,55116800,1,0,67,0,0,0,83,6820,320716800,1362731008,510132224,0,0,MAPREDUCE,1463695657083,1463695676190
_1462211675523_208439,,,,,,,,true,1,0,SUCCEEDED,31,0,119542,0,0,0,118686,167089,311,0,8,1,1,5885835,1,1,1177167,1177167,6027095040,1,0,67,0,0,0,308,15500,401080320,1359568896,482344960,0,0,,,
_1462211675523_233335,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,49835,1,1,9967,9967,51031040,1,0,67,0,0,0,143,7100,312492032,1359921152,508559360,0,0,,,
_1462211675523_234558,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167016,311,0,8,1,1,3247150,1,1,649430,649430,3325081600,1,0,67,0,0,0,134,11420,360493056,1369722880,498073600,0,0,,,
