Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time,Launched reduce tasks,Rack-local map tasks,Total time spent by all reduces in occupied slots ms,Total time spent by all reduce tasks ms,Total vcore-seconds taken by all reduce tasks,Total megabyte-seconds taken by all reduce tasks,Map output bytes,Map output materialized bytes,Combine input records,Combine output records,Reduce input groups,Reduce shuffle bytes,Reduce input records,Reduce output records,Shuffled Maps,BAD_ID,CONNECTION,IO_ERROR,WRONG_LENGTH,WRONG_MAP,WRONG_REDUCE,Killed reduce tasks,Data-local map tasks,CREATED_FILES,DESERIALIZE_ERRORS,RECORDS_IN,RECORDS_OUT_0,RECORDS_OUT_INTERMEDIATE,SKEWJOINFOLLOWUPJOBS,RECORDS_OUT_1_default.a_activity,RECORDS_OUT_1_default.v_activity,RECORDS_OUT_1_default.r_activity_archive_parquet,RECORDS_OUT_1_default.r_send_archive_parquet,Failed reduce tasks
_1462211675523_229797,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,535385,1,1,107077,107077,548234240,1,0,67,0,0,0,208,8890,312635392,1355919360,508559360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_210060,_1462211675523_209981,,,,,,,false,1,1,SUCCEEDED,49,20,500491,0,0,0,59318,96,429,0,2,1,,25060,,,5012,5012,25661440,0,0,17105,0,0,1,22,4340,1590112256,14869143552,4116709376,0,0,,,,1,,40170,4017,4017,41134080,0,16,0,0,0,16,0,0,1,0,0,0,0,0,0,,1,,,,,,,,,,,
_1462211675523_210974,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167035,311,0,8,1,1,2719660,1,1,543932,543932,2784931840,1,0,67,0,0,0,366,13080,380370944,1344405504,494403584,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_233062,_1462211675523_232974,,,,,,,false,63,271,SUCCEEDED,57,4740103644,10344062178,0,0,0,18167146710,26016,1922,0,542,63,,14032570,,,2806514,2806514,14369351680,216089257,216089257,48514,432178514,0,17073,44697,5287540,279800434688,2945429557248,737867726848,0,0,,,,272,24,34835250,3483525,3483525,35671296000,18671539027,5520209036,0,0,216089257,5520209036,216089257,0,17073,0,0,0,0,0,0,1,39,271,0,216089257,0,216089257,0,,,,,
_1462211675523_208439,,,,,,,,true,1,0,SUCCEEDED,31,0,119542,0,0,0,118686,167089,311,0,8,1,1,5885835,1,1,1177167,1177167,6027095040,1,0,67,0,0,0,308,15500,401080320,1359568896,482344960,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_238458,,141661,25,hadoop02,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,53825,1,1,10765,10765,55116800,1,0,67,0,0,0,83,6820,320716800,1362731008,510132224,0,0,MAPREDUCE,1463695657083,1463695676190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_223364,_1462211675523_223032,,,,,,,false,1,3,SUCCEEDED,55,23118754,47255293,0,0,0,174917728,90234491,527,0,6,1,,203270,,,40654,40654,208148480,779799,779799,20785,1559598,0,3,395,48810,2914496512,34137788416,8233418752,0,0,,,,4,,401540,40154,40154,411176960,204077936,23118742,0,0,422517,23118742,779799,0,3,0,0,0,0,0,0,1,1,1,0,779799,422517,779799,,,,,,
_1462211675523_218446,_1462211675523_218437,,,,,,,false,1,10,SUCCEEDED,49,200,2732520,0,0,0,97310,20,26,0,10,1,,28115,,,5623,5623,28789760,0,0,305,0,0,10,479,30430,5894402048,101815226368,22641901568,0,0,,,,10,,588350,58835,58835,602470400,0,160,0,0,0,160,0,0,10,0,0,0,0,0,0,,1,,,,,,,,,,,
_1462211675523_224499,_1462211675523_224498,,,,,,,false,15,57,SUCCEEDED,56,32318281,82466113,0,0,0,3816703368,143442901,13379,0,114,15,,19667985,,,3933597,3933597,20140016640,64685331,844885,984086,1689770,0,855,35494,3956530,61721759744,628463874048,153343754240,0,0,,,,58,4,22257400,2225740,2225740,22791577600,136161774,32330821,0,0,1,32330821,844885,0,855,0,0,0,0,0,0,1,11,1,0,64685331,844885,844885,,,,,,
_1462211675523_234558,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167016,311,0,8,1,1,3247150,1,1,649430,649430,3325081600,1,0,67,0,0,0,134,11420,360493056,1369722880,498073600,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
